Unit_Code,Foray_Name,Protocol_Name,Start_Date,Genus,Species,Host,Collection_Number,Voucher_Specimen,Outside_Plot,Comments,NPS_Accession_Num,NPS_Catalog_Num,Collector
CATO,Owens Creek,Plot,9/2/05,Lepiota,clypeolaria,Litter,300,TRUE,TRUE,,152,2361,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,Marasmius,rotula,Litter,672,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Xerula,furfuracea,Litter,319,TRUE,TRUE,,152,2351,Elizabeth Brantley
CATO,Owens Creek,Plot,9/17/06,Hygrophoropsis,aurantiaca,Litter,662,TRUE,FALSE,,152,2367,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,Lycoperdon,pyriforme,Soil,675,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Cordyceps,militaris,Soil,655,TRUE,FALSE,,152,2309,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,Marasmius,siccus,Litter,651,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Marasmius,siccus,Litter,641,TRUE,FALSE,,152,2335,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,Hygrophorus,sp.,Litter,643,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Hygrocybe,sp.,Litter,674,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Russula,sp.,Soil,658,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Entoloma,abortivum,Soil,678,TRUE,FALSE,,152,2368,Lauraine Hawkins
CATO,Owens Creek,Plot,9/17/06,No ID,,Dead Hardwood,656,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Russula,emetica,Litter,316,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/17/06,Gymnopus,dryophilus,Soil,649,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Daedaleopsis,confragosa,Dead Hardwood,311,FALSE,FALSE,,,,
